room_type,review_count,avg_rating,is_superhost,bedrooms,beds,bathrooms,persons,lat,lng,neighborhood,dist_center_km,is_tourist_zone,is_entire_home,est_active_months,est_start_year,price_eur_night,early_adopter,log_price,maturity,price_tier
Entire home/apt,52,5.0,1,1,1,1,3,41.33155223095277,19.811049588024616,Selvia,0.961,0,1,21,2024,437.0,0,6.082218910376446,established,premium
Entire home/apt,155,4.91,1,2,3,1,5,41.33140595746251,19.824650842395712,Myslym Shyri,0.79,1,1,62,2020,347.0,1,5.8522024797744745,veteran,premium
Entire home/apt,260,4.95,1,1,1,1,2,41.32471405128257,19.82562622055412,Pazari i Ri,0.829,1,1,84,2018,412.0,1,6.023447592961033,veteran,premium
Entire home/apt,24,4.96,1,2,3,2,5,41.33451862864247,19.81871031224728,Blloku,0.779,1,1,10,2025,374.0,0,5.926926025970411,active,premium
Entire home/apt,170,4.82,1,1,1,1,2,41.32704,19.81136,Blloku,0.816,1,1,68,2020,394.0,1,5.978885764901122,veteran,premium
Entire home/apt,383,4.96,1,1,1,2,2,41.32255196921301,19.8177195712924,Blloku,0.56,1,1,84,2018,423.0,1,6.049733455231958,veteran,premium
Entire home/apt,206,4.96,1,2,3,1,4,41.33086,19.82528,Myslym Shyri,0.82,1,1,82,2019,309.0,1,5.736572297479192,veteran,premium
Entire home/apt,68,5.0,1,1,1,1,2,41.3305823039337,19.81007843249077,Blloku,1.016,1,1,27,2023,330.0,0,5.802118375377063,established,premium
Entire home/apt,90,4.78,1,1,1,1,3,41.33469436148405,19.818654656410217,Blloku,0.799,1,1,36,2022,271.0,0,5.605802066295998,established,mid
Entire home/apt,547,4.97,1,1,1,1,2,41.332737,19.819708,Pazari i Ri,0.592,1,1,84,2018,429.0,1,6.063785208687608,veteran,premium
Entire home/apt,136,4.92,1,1,2,1,3,41.33162,19.82402,Myslym Shyri,0.747,1,1,54,2021,300.0,0,5.707110264748875,established,mid
Entire home/apt,344,4.9,1,1,2,1,2,41.32216,19.81846,Blloku,0.593,1,1,84,2018,261.0,1,5.568344503761097,veteran,mid
Entire home/apt,170,4.84,1,1,1,1,2,41.32071,19.81577,Blloku,0.821,1,1,68,2020,305.0,1,5.723585101952381,veteran,premium
Entire home/apt,297,4.98,1,1,3,1,4,41.329567,19.822208,Pazari i Ri,0.452,1,1,84,2018,361.0,1,5.891644211825771,veteran,premium
Entire home/apt,13,4.92,0,2,2,2,5,41.32911917960718,19.81271356344223,Blloku,0.688,1,1,5,2025,402.0,0,5.998936561946683,active,premium
Entire home/apt,316,4.94,0,2,2,1,6,41.327032,19.814839,Blloku,0.432,1,1,84,2018,475.0,1,6.16541785423142,veteran,premium
Entire home/apt,103,4.92,1,2,3,1,5,41.32546793011254,19.816858246922493,Blloku,0.304,1,1,41,2022,452.0,0,6.115892125483034,established,premium
Entire home/apt,168,4.95,1,3,3,2,5,41.33311,19.82318,Myslym Shyri,0.797,1,1,67,2020,617.0,1,6.42648845745769,veteran,luxury
Entire home/apt,17,4.94,1,1,1,1,3,41.33442624667043,19.818711318075657,Blloku,0.769,1,1,7,2025,276.0,0,5.6240175061873385,active,mid
Entire home/apt,257,4.97,1,1,1,1,2,41.32479295441989,19.82564901933074,Pazari i Ri,0.828,1,1,84,2018,392.0,1,5.973809611869261,veteran,premium
Entire home/apt,185,4.84,1,1,1,1,2,41.3238505521993,19.81292592796032,Blloku,0.758,1,1,74,2019,599.0,1,6.396929655216146,veteran,luxury
Entire home/apt,105,4.92,1,2,3,1,4,41.33101999937817,19.81470644474029,Blloku,0.591,1,1,42,2022,463.0,0,6.139884552226255,established,premium
Entire home/apt,186,4.98,1,1,2,1,3,41.32491878046042,19.81355560743472,Blloku,0.639,1,1,74,2019,340.0,1,5.831882477283517,veteran,premium
Entire home/apt,83,4.89,1,1,1,1,2,41.33227,19.82287,Myslym Shyri,0.703,1,1,33,2023,257.0,0,5.552959584921617,established,mid
Entire home/apt,242,4.86,0,2,2,1,6,41.327032,19.814839,Blloku,0.432,1,1,84,2018,431.0,1,6.068425588244111,veteran,premium
Entire home/apt,156,4.88,1,2,3,1,4,41.32314865575481,19.812108539672867,Blloku,0.877,1,1,62,2020,212.33,1,5.3628402625635365,veteran,mid
Entire home/apt,160,4.74,0,1,1,1,3,41.3311911,19.8145153,Blloku,0.619,1,1,64,2020,289.0,1,5.66988092298052,veteran,mid
Entire home/apt,606,4.85,0,1,2,1,4,41.329956,19.821524,Pazari i Ri,0.415,1,1,84,2018,289.0,1,5.66988092298052,veteran,mid
Entire home/apt,152,4.95,0,1,1,1,2,41.3242416381836,19.81641387939453,Blloku,0.442,1,1,61,2020,355.0,1,5.87493073085203,veteran,premium
Entire home/apt,68,4.96,0,2,3,1,4,41.32355499267578,19.81560516357422,Blloku,0.557,1,1,27,2023,470.0,0,6.154858094016418,established,premium
Entire home/apt,91,4.95,1,1,2,1,2,41.33160383008534,19.827793277800083,Myslym Shyri,1.107,1,1,36,2022,232.0,0,5.4510384535657,established,mid
Entire home/apt,77,4.87,1,1,1,1,3,41.33115840914667,19.819958813120337,Pazari i Ri,0.429,1,1,31,2023,215.0,0,5.375278407684165,established,mid
Entire home/apt,9,4.89,0,3,4,2,8,41.33103250360311,19.82172803010256,Pazari i Ri,0.516,1,1,4,2025,603.0,0,6.403574197934815,early,luxury
Entire home/apt,167,4.83,0,2,2,1,6,41.3238756888111,19.812798924853528,Blloku,0.769,1,1,67,2020,449.0,1,6.1092475827643655,veteran,premium
