name,neighborhood,search_zone,lat,lng,est_start_year
Stylish two bedroom house with private pool,Kombinat,Kombinat,41.30622,19.80067,2023
Tirana Stylish Stay,Kombinat,Kombinat,41.32284,19.79813,2025
Modern Two Bedrooms Haven*Free Private Parking*,Kombinat,Kombinat,41.32245351629675,19.797581546008587,2025
TRiPartments - Solaris,Kombinat,Kombinat,41.3206,19.80838,2020
Bllok Scandi Apartments 1,Shkoza,Kombinat,41.31637,19.80976,2024
Stylish 1BR Retreat in Vibrant neighborhood,Kombinat,Kombinat,41.31785,19.80362,2023
Kika Residence-Perfect 1 Bedroom Apartment,Kombinat,Kombinat,41.31682968139648,19.806049346923828,2025
Cozy and Comfy room in Myslym Shyri,Kombinat,Kombinat,41.3237,19.80467,2021
Superior Apartment with Balcony,Kombinat,Kombinat,41.31807591099752,19.802556265745537,2025
Luxury Residence Skyline,Kombinat,Kombinat,41.31889938111381,19.805896799999992,2025
Roza's Studio Tirana Center,Blloku,Kombinat,41.32366,19.8081,2018
Altura Apartment by Kondo Stays,Blloku,Kombinat,41.32262788196746,19.809303193284595,2024
Olive Garden Terracotta Apartment,Kombinat,Kombinat,41.32244,19.80573,2023
Comfortable studio apartment,Kombinat,Kombinat,41.311525249098445,19.802581183612347,2025
Cozy Urban Apartment,Kombinat,Kombinat,41.31741,19.80666,2023
Skyline urban retreat,Kinostudio,Kinostudio,41.32980879296567,19.838249655017087,2025
AK Studio Apartment,Don Bosko,Kinostudio,41.32554,19.84634,2024
2 Steps from city center apt.3.2,Center,Kinostudio,41.333061258942536,19.8324204236269,2023
Rondine Studio Apartment,Bulevardi,Kinostudio,41.336209,19.831952,2021
GEMS City Living,Center,Kinostudio,41.3293423,19.8308448,2021
Quiet Apartment Near Downtown,Don Bosko,Kinostudio,41.32740258099541,19.846276715397835,2025
Cozy 2BR Condo • Parking • WiFi • AC • Laundry,Kinostudio,Kinostudio,41.3279,19.84479,2024
Mila's place,Center,Kinostudio,41.32513,19.83205,2022
Alpha Apartments cozy & spacious,Bulevardi,Kinostudio,41.3384910940143,19.83043123036623,2025
Niko's Apartment -1,Center,Kinostudio,41.32779,19.83446,2022
Central Reach Apartment | 10 Min Walk from Center,Center,Kinostudio,41.327064725239005,19.8317662999034,2025
"Modern Duplex, Central Tirana, Patio, Speed WiFi",Liqeni,Kinostudio,41.34309224427531,19.831725968786625,2025
Azurè Veranda 1,Center,Kinostudio,41.33033,19.83421,2025
Bliss Apartment,Kinostudio,Kinostudio,41.3392,19.83957,2025
Wendy apartments,Center,Kinostudio,41.325598362312064,19.830156303942204,2025
DeLux Suite 104,Center,Kinostudio,41.32574035783195,19.83111653476953,2024
Huqi Luxury Apartments 2,Center,Kinostudio,41.33416141056248,19.835230372846127,2025
Tirana apartment,Liqeni,Kinostudio,41.3423925,19.8334466,2024
Urban Oasis | East of Tirana,Kinostudio,Kinostudio,41.32849881416068,19.84562795609236,2025
2 Steps from city center apt 3.1,Center,Kinostudio,41.33304625119767,19.83240680489348,2023
Azurè Apartments Luxe 1,Center,Kinostudio,41.33052755314184,19.836697205901142,2024
Ajan's Guesthouse,Liqeni,Kinostudio,41.34198026372304,19.83096532523632,2025
Hortus Aurantii,Center,Kinostudio,41.32594682419772,19.83613662421704,2025
Sunflower Apartment,Don Bosko,Kinostudio,41.32644332945256,19.8459991067648,2023
House NANI,Kinostudio,Kinostudio,41.33007,19.84507,2023
"Cosy, private apartment in a family villa",Kinostudio,Kinostudio,41.33779,19.83876,2024
Modern Comfort | Near City Center,Kinostudio,Kinostudio,41.32831939359073,19.84530937312411,2025
Lofty Vibe Tirana,Center,Kinostudio,41.333496027497326,19.834578931331635,2021
Bright Modern Designer Apartment,Kinostudio,Kinostudio,41.32966,19.83781,2024
Charming Comfort apartment,Center,Kinostudio,41.32585,19.83187,2025
Velora Apartment Tirana,Kinostudio,Kinostudio,41.34065014465836,19.844936951994896,2025
Solei’s Apartament,Kinostudio,Kinostudio,41.34107230697197,19.845338948071003,2025
Ali Demi Apartment Comfortable Tirana Retreat,Center,Kinostudio,41.32868,19.8348719,2023
Oxhaku’s Apartment,Liqeni,Kinostudio,41.34230217870001,19.841186553239822,2025
2 Steps from city center apt 3.4,Center,Kinostudio,41.33306478348723,19.83246199786663,2023
Restup Apartments in Tirana 1+1,Center,Kinostudio,41.32537,19.83345,2025
Chestnut Yard - Apt garden view,Liqeni,Kinostudio,41.34316,19.83254,2025
"""The Garden Loft"" modern apartment in Tirana",Kinostudio,Kinostudio,41.3283540285079,19.83897831240188,2025
"MI&DA Apartments, FREE Parking Garage underground",Don Bosko,Kinostudio,41.32831,19.84584,2023
Huqi Luxury Apartments 1,Center,Kinostudio,41.33435777443388,19.835083857178688,2025
TOMEI Apartment | Stunning City & Mountain View,Kinostudio,Kinostudio,41.33306312093999,19.83640527717088,2025
Sunshine Place,Kinostudio,Kinostudio,41.33256,19.83819,2018
Cozzy Appartment with Great View and Free Parking,Kinostudio,Kinostudio,41.32879,19.8456,2023
Vila Tafa apartments.Just like home. ap 3,Center,Kinostudio,41.32642269232265,19.831041768193245,2024
Newly Renovated Urban Oasis,Kinostudio,Kinostudio,41.33513214785321,19.83518745750189,2025
Cityscape Oasis,Liqeni,Kinostudio,41.34486,19.83666,2021
Central Azurè Apartments,Center,Kinostudio,41.33367,19.83464,2022
Te Amantia Apartment,Kinostudio,Kinostudio,41.33251,19.84032,2025
Amna's Apartment in Tirana 24H Self Check-in,Liqeni,Kinostudio,41.3418844,19.8308919,2025
Cozy Studio near Tirana center,Center,Kinostudio,41.3340229036468,19.83427718281746,2025
Magas Tirana Apartment Near Center,Center,Kinostudio,41.32587,19.8311,2024
"Feel at home,ap1.",Center,Kinostudio,41.32705,19.83228,2025
Apartament Near the City Center,Center,Kinostudio,41.32623158822357,19.832002334296703,2025
Modern Apartment with Terrace-Tirana Luxury living,Kinostudio,Kinostudio,41.32843248075584,19.83893452380373,2025
Wendy studio,Center,Kinostudio,41.32562782115322,19.8301324993372,2025
Veranda duplex,Kinostudio,Kinostudio,41.340955746553504,19.841954670846462,2022
Urban Oasis Mount View,Kinostudio,Kinostudio,41.32843159980319,19.84555386006832,2025
Vila TAFA apartments ap4,Center,Kinostudio,41.326096,19.831585,2022
Terrace Apartment 2,Center,Kinostudio,41.32986895014273,19.83403611928225,2019
